source,parent_index,coordinate,delta,parent_valid,variant_valid,variant_reason,transition,silent_genotype,weights_changed,active_sites_changed,cost_change,behavior_tv
83003,2,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,6,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83003,2,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83003,2,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83003,3,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
